valve
id,AUC,pAUC
00,0.6868067226890756,0.513047324192835
02,0.6814166666666667,0.5157894736842106
04,0.7595833333333333,0.5223684210526316
06,0.5519166666666666,0.4855263157894737
Average,0.6699308473389355,0.5091828836797877

